2022-04-08T05-48-29,38751,Walmart Pharmacy #347,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,38751,Walmart Pharmacy #347,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,38751,Walmart Pharmacy #347,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,38751,Walmart Pharmacy #347,NLP,NLP,NLP,24,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,38751,Walmart Pharmacy #347,NLP,NLP,NLP,24,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,24,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,38751,Walmart Pharmacy #347,NLP,NLP,NLP,24,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,38751,Walmart Pharmacy #347,NLP,NLP,NLP,23,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,38751,Walmart Pharmacy #347,NLP,NLP,NLP,23,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,38751,Walmart Pharmacy #347,NLP,NLP,NLP,23,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,38751,Walmart Pharmacy #347,NLP,NLP,NLP,23,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,38751,Walmart Pharmacy #347,NLP,NLP,NLP,23,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,38751,Walmart Pharmacy #347,NLP,NLP,NLP,23,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,38751,Walmart Pharmacy #347,NLP,NLP,NLP,22,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,38751,Walmart Pharmacy #347,NLP,NLP,NLP,21,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,38751,Walmart Pharmacy #347,NLP,NLP,NLP,21,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,38751,Walmart Pharmacy #347,NLP,NLP,NLP,21,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,38751,Walmart Pharmacy #347,NLP,NLP,NLP,21,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,38751,Walmart Pharmacy #347,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,38751,Walmart Pharmacy #347,NLP,NLP,NLP,21,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,38751,Walmart Pharmacy #347,NLP,NLP,NLP,21,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,38751,Walmart Pharmacy #347,NLP,NLP,NLP,21,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,38751,Walmart Pharmacy #347,NLP,NLP,NLP,19,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,38751,Walmart Pharmacy #347,NLP,NLP,NLP,18,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,38751,Walmart Pharmacy #347,NLP,NLP,NLP,18,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,38751,Walmart Pharmacy #347,NLP,NLP,NLP,18,06/02/2022 12:00:00 AM
2022-06-07T05-36-41,38751,Walmart Pharmacy #347,NLP,NLP,NLP,17,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,38751,Walmart Pharmacy #347,NLP,NLP,NLP,17,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,38751,Walmart Pharmacy #347,NLP,NLP,NLP,17,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,38751,Walmart Pharmacy #347,NLP,NLP,NLP,17,06/07/2022 12:00:00 AM
2022-06-11T04-15-14,38751,Walmart Pharmacy #347,NLP,NLP,NLP,17,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,38751,Walmart Pharmacy #347,NLP,NLP,NLP,17,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,38751,Walmart Pharmacy #347,NLP,NLP,NLP,17,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,38751,Walmart Pharmacy #347,NLP,NLP,NLP,17,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/14/2022 12:00:00 AM
2022-06-17T04-15-27,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/17/2022 12:00:00 AM
2022-06-21T04-15-35,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/17/2022 12:00:00 AM
2022-06-22T04-15-20,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/22/2022 12:00:00 AM
2022-06-24T04-15-26,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/24/2022 12:00:00 AM
2022-06-27T04-15-31,38751,Walmart Pharmacy #347,NLP,NLP,NLP,16,06/24/2022 12:00:00 AM
2022-06-28T04-15-44,38751,Walmart Pharmacy #347,NLP,NLP,NLP,15,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,38751,Walmart Pharmacy #347,NLP,NLP,NLP,15,06/28/2022 12:00:00 AM
2022-06-30T04-15-32,38751,Walmart Pharmacy #347,NLP,NLP,NLP,15,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,38751,Walmart Pharmacy #347,NLP,NLP,NLP,15,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,38751,Walmart Pharmacy #347,NLP,NLP,NLP,15,06/30/2022 12:00:00 AM
2022-07-04T04-15-29,38751,Walmart Pharmacy #347,NLP,NLP,NLP,15,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,38751,Walmart Pharmacy #347,NLP,NLP,NLP,15,06/30/2022 12:00:00 AM
2022-07-06T04-15-19,38751,Walmart Pharmacy #347,NLP,NLP,NLP,15,06/30/2022 12:00:00 AM
2022-07-07T04-15-17,38751,Walmart Pharmacy #347,NLP,NLP,NLP,15,07/06/2022 12:00:00 AM
2022-07-07T13-15-18,38751,Walmart Pharmacy #347,NLP,NLP,NLP,15,07/06/2022 12:00:00 AM
2022-07-08T04-15-19,38751,Walmart Pharmacy #347,NLP,NLP,NLP,12,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,38751,Walmart Pharmacy #347,NLP,NLP,NLP,12,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,38751,Walmart Pharmacy #347,NLP,NLP,NLP,12,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,38751,Walmart Pharmacy #347,NLP,NLP,NLP,12,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,38751,Walmart Pharmacy #347,NLP,NLP,NLP,12,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,38751,Walmart Pharmacy #347,NLP,NLP,NLP,12,07/12/2022 12:00:00 AM
2022-07-14T04-15-29,38751,Walmart Pharmacy #347,NLP,NLP,NLP,10,07/13/2022 12:00:00 AM
2022-07-15T04-15-46,38751,Walmart Pharmacy #347,NLP,NLP,NLP,9,07/14/2022 12:00:00 AM
2022-07-17T04-15-18,38751,Walmart Pharmacy #347,NLP,NLP,NLP,9,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,38751,Walmart Pharmacy #347,NLP,NLP,NLP,9,07/14/2022 12:00:00 AM
2022-07-18T07-55-19,38751,Walmart Pharmacy #347,NLP,NLP,NLP,9,07/14/2022 12:00:00 AM
2022-07-19T04-15-25,38751,Walmart Pharmacy #347,NLP,NLP,NLP,7,07/18/2022 12:00:00 AM
2022-07-20T04-15-41,38751,Walmart Pharmacy #347,NLP,NLP,NLP,7,07/19/2022 12:00:00 AM
2022-07-21T04-15-40,38751,Walmart Pharmacy #347,NLP,NLP,NLP,7,07/20/2022 12:00:00 AM
2022-07-22T04-15-29,38751,Walmart Pharmacy #347,NLP,NLP,NLP,7,07/21/2022 12:00:00 AM
2022-07-23T04-15-20,38751,Walmart Pharmacy #347,NLP,NLP,NLP,7,07/21/2022 12:00:00 AM
2022-07-24T04-15-21,38751,Walmart Pharmacy #347,NLP,NLP,NLP,7,07/21/2022 12:00:00 AM
